filepath,label
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/47fbd17d-c078-4465-8816-c675abd9c850___JR_B.Spot 3185.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/42ef264d-f255-4674-885a-0921a0e7f649___JR_B.Spot 9022.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/435993b8-c7f7-47fd-85ad-bdb04ab3e8bb___JR_B.Spot 8976.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/1fca0f2b-857b-4cef-9218-42b1bdd92d00___JR_B.Spot 8969.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/9cee73cb-272f-4121-b82d-c8c2b3ca71a0___NREC_B.Spot 1813.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/816dee9f-b43f-42da-b0c9-3fb8b29d511d___NREC_B.Spot 9182.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/1694ae00-3c5f-488c-9402-e65c70c73cf2___JR_B.Spot 3179.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/9f36da2c-ab51-4fff-b394-ad22b15508eb___JR_B.Spot 9032.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/c66fe682-9e42-4343-a4d4-add4d6244859___NREC_B.Spot 9131.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/b21d5a06-eab3-47a9-86d1-70295f8f8848___NREC_B.Spot 1940.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/5e0a97ce-9b9d-4528-ae61-28aeab5809aa___NREC_B.Spot 1830.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/61ff52bd-c262-4198-8067-76d89a0468a9___NREC_B.Spot 9176.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/0558ff5a-45c7-4ea0-9479-3f71f0048208___JR_B.Spot 3183.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/38caf650-d4c8-483d-a75d-b20f12629563___JR_B.Spot 3161.JPG,Pepper__bell___Bacterial_spot
/Users/ashishrathore/FarmAI-Assistant/data/raw/plantvillage/color/Pepper__bell___Bacterial_spot/3d5f977b-126e-4c4b-b6c2-5d81a69cf2d0___JR_B.Spot 3220.JPG,Pepper__bell___Bacterial_spot
