,precision,recall,f1-score,support
Pepper__bell Bacterial_spot,0.7083333333333334,0.22666666666666666,0.3434343434343434,150.0
Pepper__bell healthy,0.536,0.9054054054054054,0.6733668341708543,222.0
Potato Early_blight,0.7484662576687117,0.8133333333333334,0.7795527156549521,150.0
Potato Late_blight,0.65625,0.42,0.5121951219512195,150.0
Potato healthy,0.48,0.5217391304347826,0.4999999999999999,23.0
Tomato_Bacterial_spot,0.8389261744966443,0.78125,0.8090614886731391,320.0
Tomato_Early_blight,0.7441860465116279,0.4266666666666667,0.5423728813559322,150.0
Tomato_Late_blight,0.8333333333333334,0.5226480836236934,0.6423982869379015,287.0
Tomato_Leaf_Mold,0.8153846153846154,0.3706293706293706,0.5096153846153847,143.0
Tomato_Septoria_leaf_spot,0.49330357142857145,0.8308270676691729,0.6190476190476191,266.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.6960486322188449,0.9087301587301587,0.7882960413080895,252.0
accuracy,0.6620918125887364,0.6620918125887364,0.6620918125887364,0.6620918125887364
macro avg,0.6863847240341528,0.6116268984690229,0.6108491561044941,2113.0
weighted avg,0.7049045875304272,0.6620918125887364,0.6469857786787905,2113.0
